"Entity","Code","Year","Homicide rate per 100,000 population - Both Sexes - All ages","Homicide rate per 100,000 population - Both Sexes - Age 15-49","Homicide rate per 100,000 population - Both Sexes - Age 50-69","Homicide rate per 100,000 population - Both Sexes - Age 70+","Homicide rate per 100,000 population - Both Sexes - Age 0-4","Homicide rate per 100,000 population - Both Sexes - Age 5-14"
"Antigua and Barbuda","ATG",1964,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1966,3.3099523,7.7477336,0,0,0,0
"Antigua and Barbuda","ATG",1969,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1970,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1971,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1972,1.5499588,3.7320395,0,0,0,0
"Antigua and Barbuda","ATG",1973,7.7877274,11.141233,11.381743,0,12.515645,0
"Antigua and Barbuda","ATG",1974,1.5659989,3.6884036,0,0,0,0
"Antigua and Barbuda","ATG",1975,7.8632445,14.588956,10.96371,0,0,0
"Antigua and Barbuda","ATG",1976,1.5759584,0,0,0,0,0
"Antigua and Barbuda","ATG",1977,1.5756845,0,0,0,0,5.947425
"Antigua and Barbuda","ATG",1978,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1983,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1985,1.5640657,3.0764499,0,0,0,0
"Antigua and Barbuda","ATG",1986,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1987,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1988,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1989,3.169689,6.0448527,0,0,0,0
"Antigua and Barbuda","ATG",1990,1.5855156,3.0239801,0,0,0,0
"Antigua and Barbuda","ATG",1991,4.7201443,8.956293,0,0,0,0
"Antigua and Barbuda","ATG",1992,3.0956147,5.8082128,0,0,0,0
"Antigua and Barbuda","ATG",1993,6.07672,5.6490793,13.601741,24.727993,0,0
"Antigua and Barbuda","ATG",1994,7.4483876,13.756293,0,0,0,0
"Antigua and Barbuda","ATG",1995,10.21881,10.731916,39.54132,0,0,0
"Antigua and Barbuda","ATG",1998,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1999,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2000,2.6531284,4.813825,0,0,0,0
"Antigua and Barbuda","ATG",2001,11.756633,14.233187,32.747517,0,0,0
"Antigua and Barbuda","ATG",2002,5.1564765,7.0255966,0,0,14.492754,0
"Antigua and Barbuda","ATG",2003,2.5480115,2.3126736,9.992006,0,0,0
"Antigua and Barbuda","ATG",2004,8.815007,13.705514,9.59785,0,0,0
"Antigua and Barbuda","ATG",2005,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2006,4.908059,6.6650376,8.798944,0,0,0
"Antigua and Barbuda","ATG",2007,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2008,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2009,1.172789,0,0,0,0,7.156659
"Antigua and Barbuda","ATG",2012,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2013,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2014,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2015,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2016,0,0,0,0,0,0
"Antigua and Barbuda","ATG",2017,0,0,0,0,0,0
"Argentina","ARG",1966,4.542751,6.627632,5.099792,3.0463939,1.0943692,0.45445675
"Argentina","ARG",1967,5.849462,8.695764,5.912483,6.0847607,2.039688,0.44985834
"Argentina","ARG",1968,6.667344,9.751244,6.8883834,4.0119433,2.5949655,0.57867885
"Argentina","ARG",1969,7.2003064,10.34643,7.292622,4.6749506,2.8465028,0.6829259
"Argentina","ARG",1970,7.0640264,10.279232,6.336071,6.175633,2.598734,0.6980478
"Argentina","ARG",1977,9.111663,13.565744,5.871911,4.1141753,1.9004667,0.69904876
"Argentina","ARG",1978,5.6919765,8.334345,4.432702,3.8802888,2.044225,0.76448554
"Argentina","ARG",1979,3.6090446,4.913061,3.734659,3.740439,1.5329089,0.55630016
"Argentina","ARG",1980,3.5036976,4.7726965,3.6734953,3.1501992,1.6012894,0.58051664
"Argentina","ARG",1981,3.881262,5.3538747,4.5602584,3.933989,1.9192894,0.4744717
"Argentina","ARG",1982,4.192994,5.7569036,4.539925,5.0215282,1.7568011,0.81706077
"Argentina","ARG",1983,4.2191443,5.717104,4.816085,5.4137115,1.4810798,0.7086119
"Argentina","ARG",1984,4.7227736,6.9439516,5.046969,5.2486763,1.450559,0.48821294
"Argentina","ARG",1985,4.967271,7.258095,5.171704,3.9853938,1.6016706,0.5917825
"Argentina","ARG",1986,5.6302595,8.12737,5.9969497,6.2147446,1.4488628,0.9177999
"Argentina","ARG",1987,5.402328,7.86828,5.8868346,4.431197,1.4442636,0.8545281
"Argentina","ARG",1988,5.5912557,8.103965,6.288871,4.596249,1.3170333,0.81141484
"Argentina","ARG",1989,5.9089727,8.565301,6.0980773,5.608632,1.8732572,0.7718479
"Argentina","ARG",1990,4.9797497,6.9734964,5.392941,5.4270077,1.5918788,0.78090096
"Argentina","ARG",1991,4.255978,6.068126,4.437133,4.7577467,1.3424586,0.487006
"Argentina","ARG",1992,4.552636,6.453412,4.571515,4.9099007,1.3000659,0.87878066
"Argentina","ARG",1993,4.4180374,5.748413,4.61011,3.6877441,1.3440619,0.6341178
"Argentina","ARG",1994,4.373875,6.114924,4.7541995,3.9082556,1.3869935,0.7825315
"Argentina","ARG",1995,4.1305165,5.8158813,4.1867642,3.5927656,1.826076,0.5844278
"Argentina","ARG",1996,4.5595384,6.441804,4.824967,3.4354534,1.9888372,0.73015726
"Argentina","ARG",1997,4.7647057,6.803323,4.9351096,3.3790016,1.9064307,0.69570214
"Argentina","ARG",1998,4.721305,7.2031875,4.312683,3.4578445,1.0409836,0.67569345
"Argentina","ARG",1999,5.277271,7.8876314,4.9692206,4.585724,1.4410305,0.56806934
"Argentina","ARG",2000,5.812906,8.890247,5.233708,4.882674,1.2763256,0.60685956
"Argentina","ARG",2001,6.9523215,10.660357,6.3632503,5.732191,1.0242176,0.7608408
"Argentina","ARG",2002,7.5680203,11.346657,7.23708,6.19456,1.1116698,1.0145233
"Argentina","ARG",2003,7.295656,10.749485,7.322744,7.1139674,0.99922234,0.7833022
"Argentina","ARG",2004,5.812015,8.492815,5.512035,6.569156,1.0588955,0.61059743
"Argentina","ARG",2005,5.2087693,7.77315,4.5339475,5.404585,0.8023456,0.6803256
"Argentina","ARG",2006,4.977885,7.2670574,4.803983,4.5743113,0.80126417,0.76544553
"Argentina","ARG",2007,4.385616,6.2887297,4.375931,4.5671177,0.94192386,0.41163006
"Argentina","ARG",2008,4.456711,6.6467657,4.007609,3.5798707,0.71128714,0.62608534
"Argentina","ARG",2009,4.3996425,6.7609787,3.3211524,3.4127858,0.67975324,0.48536864
"Argentina","ARG",2010,4.4428983,6.50269,4.065874,3.8619208,0.64791614,0.5580897
"Argentina","ARG",2011,4.2794657,6.4688993,2.9974856,3.9940302,0.8680519,0.644421
"Argentina","ARG",2012,5.0087814,7.4079547,4.457669,4.0466647,0.5838687,0.60111386
"Argentina","ARG",2013,5.077498,7.732662,4.134732,3.6763012,0.57906914,0.51465815
"Argentina","ARG",2014,5.425416,8.375368,3.9307015,4.47555,0.7387218,0.54251987
"Argentina","ARG",2015,5.2180343,7.997491,3.8014262,4.133731,0.4896375,0.44153613
"Argentina","ARG",2016,4.7644324,7.079548,3.7836318,3.719987,0.38009393,0.48235524
"Argentina","ARG",2017,3.9304435,5.90244,3.1075432,2.4104426,0.7634416,0.39521587
"Argentina","ARG",2018,3.7075331,5.4504805,3.0092254,3.1646698,0.7739161,0.29465058
"Argentina","ARG",2019,3.6016526,5.3849,2.7209349,2.8166776,0.5368096,0.39038303
"Armenia","ARM",1981,1.8758761,2.7669764,2.2811606,2.6326182,0,0
"Armenia","ARM",1982,2.013485,2.8694236,3.4381983,0.850398,0,0
"Armenia","ARM",1985,1.4950544,1.9728307,2.0084488,4.903964,0,0
"Armenia","ARM",1986,1.3608278,1.975203,1.066487,1.6534392,0.25612196,0.47952738
"Armenia","ARM",1987,1.8591515,2.3296623,3.656894,2.5287008,0.25433385,0
"Armenia","ARM",1988,2.5688405,3.333146,3.699485,6.069645,0.76192796,0
"Armenia","ARM",1989,2.8239257,4.163,2.7972445,7.0626454,0,0
"Armenia","ARM",1990,5.824128,8.991888,5.0160065,7.9921856,0,0.44599652
"Armenia","ARM",1991,6.9143095,10.494052,8.035019,8.970541,0,0.14439578
"Armenia","ARM",1992,25.838999,42.216904,22.822554,26.938688,0,1.4432722
"Armenia","ARM",1993,8.126225,11.615871,10.709865,17.593708,0,1.0299494
"Armenia","ARM",1994,5.1295767,8.583106,3.9715035,8.3925705,0,0.29719582
"Armenia","ARM",1995,4.7443104,7.4694333,6.2861824,3.1502016,0.30615774,0.14853214
"Armenia","ARM",1996,3.3107922,5.271706,3.4330812,4.39094,0.33244127,0.1474898
"Armenia","ARM",1997,2.8307378,3.9776704,4.7478776,4.0668316,0.36324406,0
"Armenia","ARM",1998,2.8182547,4.166719,4.839884,1.2590653,0,0.14846046
"Armenia","ARM",1999,2.8972929,3.9946792,3.8507533,4.717565,0.850351,0.45690963
"Armenia","ARM",2000,2.6229875,3.5833132,3.6741662,5.589621,0.45415324,0
"Armenia","ARM",2001,2.0131512,2.932574,3.2450604,1.6053512,0,0
"Armenia","ARM",2002,2.229465,3.176921,2.3626444,3.1016889,0,0
"Armenia","ARM",2003,1.9197791,2.9980783,0.635608,2.015215,0.5230563,0.3605494
"Armenia","ARM",2006,1.9311346,2.343933,2.6003067,2.8223872,0,0
"Armenia","ARM",2007,1.7784734,2.414969,2.1595304,0.90728045,0,0
"Armenia","ARM",2008,1.8285532,2.194168,2.6872485,2.189746,0,0.24541143
"Armenia","ARM",2009,1.8717324,1.8560314,2.8010838,2.55355,0,1.0264938
"Armenia","ARM",2010,1.471122,1.7017297,1.9902874,2.0850449,0,0
"Armenia","ARM",2011,1.339612,1.735793,1.747714,0,0.5163822,0.27306587
"Armenia","ARM",2012,1.830447,1.9006473,2.6932535,3.7816875,0,0
"Armenia","ARM",2013,1.156266,1.937266,0.64731413,0.43547747,0,0
"Armenia","ARM",2014,1.1603739,1.4292413,1.5604689,1.3664438,0,0
"Armenia","ARM",2015,1.3016355,1.5242794,1.6695657,1.89111,0.47130907,0
"Armenia","ARM",2016,1.1696672,1.5500807,1.4930009,0.9632983,0,0
"Armenia","ARM",2017,1.2883126,2.0747452,0.59296244,1.9303156,0,0
"Armenia","ARM",2018,0.31256768,0.29023597,0.5912865,0.4798902,0,0
"Armenia","ARM",2019,0.8372982,1.3234107,0.44302413,1.4244405,0,0
"Australia","AUS",1950,1.0394146,1.0408336,1.0204539,1.4973758,1.3501973,0.6218562
"Australia","AUS",1951,1.3538457,1.5847534,1.7380527,1.4539498,1.0825452,0.3677271
"Australia","AUS",1952,1.4709244,1.695557,1.4474713,1.1796571,1.806871,0.69308573
"Australia","AUS",1953,1.304169,1.4896832,1.6863286,1.3771164,1.2551763,0.3941472
"Australia","AUS",1954,1.3003272,1.60683,1.343601,1.1137445,1.3331501,0.43813202
"Australia","AUS",1955,1.40119,1.67082,1.7652997,1.0780787,1.3088254,0.4768001
"Australia","AUS",1956,1.3257856,1.5752114,1.4265884,1.6700137,1.2859001,0.45538583
"Australia","AUS",1957,1.3170367,1.8066587,1.0364324,1.0102766,0.6806432,0.7099449
"Australia","AUS",1958,1.5229105,1.9053043,1.6177691,0.975311,1.2413499,0.7892153
"Australia","AUS",1959,1.4807326,2.1838634,1.3544773,0.5651836,1.122284,0.30618978
"Australia","AUS",1960,1.468477,1.9783144,1.7351401,0.9112132,0.5485654,0.6461117
"Australia","AUS",1961,1.3515195,1.9387763,1.2478142,0.70530814,0.715273,0.5355094
"Australia","AUS",1962,1.5408907,1.86046,2.2212102,1.1966467,1.141299,0.48057562
"Australia","AUS",1963,1.356071,1.6316702,1.1939917,2.1634216,1.0404673,0.7578614
"Australia","AUS",1964,1.5096686,1.805864,1.3774163,0.6512791,2.0667543,0.8362043
"Australia","AUS",1965,1.4357116,1.9315346,0.98260427,1.1182895,1.4623266,0.68143845
"Australia","AUS",1966,1.3300419,1.814362,1.518201,0.78517956,0.5182448,0.53205496
"Australia","AUS",1967,1.3806803,1.9127303,1.2931123,0.77337724,0.78262776,0.60781986
"Australia","AUS",1968,1.588881,2.2603116,1.4213018,0.9167976,1.4795384,0.2986956
"Australia","AUS",1969,1.2799017,1.7028139,1.158931,0.4528466,1.3761251,0.50372946
"Australia","AUS",1970,1.5200121,1.9929279,1.2254019,0.59110737,1.4220765,0.8232723
"Australia","AUS",1971,1.8043214,2.335998,1.8198884,1.4365876,1.7725183,0.48383117
"Australia","AUS",1972,1.6762024,2.2036555,1.6313725,0.9807507,1.8016917,0.39882332
"Australia","AUS",1973,1.9127836,2.646203,1.720721,0.8221284,1.7038004,0.47682852
"Australia","AUS",1974,1.8033218,2.377523,1.7663898,1.0713636,1.0852183,0.791411
"Australia","AUS",1975,1.6392066,2.3970907,1.1944842,0.39147678,1.4152023,0.4729133
"Australia","AUS",1976,2.0361536,2.6902177,2.5040023,2.157848,0.97074026,0.23531553
"Australia","AUS",1977,1.9218016,2.4638615,1.7060114,1.1121216,2.173297,0.74085885
"Australia","AUS",1978,1.8016931,2.602642,1.2886301,1.0805943,1.2013166,0.5440563
"Australia","AUS",1979,1.8291584,2.4506207,1.8095367,1.1646501,1.4851792,0.3495375
"Australia","AUS",1980,1.9078687,2.515349,1.8243272,1.2392956,1.8483019,0.38799828
"Australia","AUS",1981,1.8889449,2.335215,2.1029618,2.2810664,1.6644022,0.30977172
"Australia","AUS",1982,1.9707664,2.620877,1.6728525,1.2558502,1.7314264,0.69655913
"Australia","AUS",1983,1.7813509,2.4446206,1.6596677,0.80617285,1.1965904,0.5051355
"Australia","AUS",1984,2.0164902,2.7093194,1.7585974,1.4539378,1.6040618,0.509675
"Australia","AUS",1985,1.990292,2.7651637,1.453836,1.4032003,1.2521464,0.63442415
"Australia","AUS",1986,1.9420104,2.6944497,1.5812408,0.9968987,1.4890875,0.4412829
"Australia","AUS",1987,2.1278427,2.961208,1.8433852,0.9693167,1.4769146,0.40429735
"Australia","AUS",1988,2.0266185,2.6941833,1.5709537,1.4618802,1.6256595,0.6069154
"Australia","AUS",1989,1.8271068,2.463527,1.2718649,1.5950918,1.2060544,0.564126
"Australia","AUS",1990,2.1930685,2.9722726,1.6284755,1.5471784,1.5899465,0.60074204
"Australia","AUS",1991,1.9681174,2.6758442,1.7778088,1.0200167,1.2584385,0.43767908
"Australia","AUS",1992,1.7230331,2.41489,1.5926024,0.7572092,0.7015843,0.3560238
"Australia","AUS",1993,1.8480585,2.2805836,1.8026263,1.3184862,2.014434,0.51161784
"Australia","AUS",1994,1.8129306,2.509805,1.2254385,0.99331355,1.8534222,0.39104003
"Australia","AUS",1995,1.6534407,2.155075,1.454424,1.1006988,1.0810935,0.62034714
"Australia","AUS",1996,1.7703308,2.3388782,1.8196089,0.8672969,1.2378411,0.42296794
"Australia","AUS",1997,1.7185404,2.2677922,1.61378,1.2950054,1.0080333,0.4585114
"Australia","AUS",1998,1.5827829,2.0648685,1.504428,1.0061672,1.4785923,0.34186918
"Australia","AUS",1999,1.5709282,2.160526,1.3188403,0.79560876,1.4853567,0.30183417
"Australia","AUS",2000,1.6052128,2.2730932,1.1974978,0.8942347,1.0198094,0.4870656
"Australia","AUS",2001,1.5956181,2.105368,1.6369356,0.63972604,1.5722973,0.3352507
"Australia","AUS",2002,1.4688629,2.2116234,1.1536512,0.3990887,0.8663641,0.18556318
"Australia","AUS",2003,1.3008347,1.8324662,0.7972731,0.8966102,1.4186555,0.33332753
"Australia","AUS",2004,0.8102506,1.1990075,0.6057452,0.4958522,0.5506621,0.036990717
"Australia","AUS",2006,1.2620522,1.7236394,0.9860553,0.79469776,1.3842746,0.22161172
"Australia","AUS",2007,1.047308,1.427493,0.82507384,0.880662,0.8973486,0.18443936
"Australia","AUS",2008,1.1767035,1.5910013,1.1274449,0.80982643,0.6513432,0.22068591
"Australia","AUS",2009,1.2593658,1.8432605,0.843574,0.74088967,1.0549815,0.21970658
"Australia","AUS",2010,1.1035144,1.4993916,1.0873387,0.72193235,0.48353395,0.21831106
"Australia","AUS",2011,1.0961301,1.5672555,0.8187844,0.98424226,0.47746372,0.14412804
"Australia","AUS",2012,1.2583082,1.7118484,1.0125914,0.9585303,0.93771935,0.32017282
"Australia","AUS",2013,1.0729594,1.6561719,0.74232113,0.35504586,0.723081,0.105160505
"Australia","AUS",2014,1.1668966,1.4799852,1.2695663,0.6886083,0.90910274,0.24150872
"Australia","AUS",2015,1.1839375,1.6032827,1.1024064,0.4585265,0.8359656,0.47504795
"Australia","AUS",2016,1.0829084,1.376484,1.0881956,0.6029475,1.0829957,0.33325857
"Australia","AUS",2017,0.85797703,1.1789129,0.71816003,0.6552001,0.6345548,0.16342604
"Australia","AUS",2018,0.9886483,1.262964,1.0130928,0.59133285,0.7630714,0.3527286
"Australia","AUS",2019,0.9661056,1.2798843,1.0534115,0.7461119,0.44622594,0.06313897
"Australia","AUS",2020,0.9386302,1.1463726,1.0042019,0.92395633,0.8351181,0.093662046
"Austria","AUT",1955,0.9213303,0.61416024,0.7874531,1.027272,2.8619967,1.1288805
"Austria","AUT",1956,1.5103649,1.380973,0.95708835,2.011785,3.8110902,1.4622463
"Austria","AUT",1957,1.1485152,1.3534689,0.7690406,0.985682,1.7495533,0.89791864
"Austria","AUT",1958,0.9302996,0.89486563,0.70279664,0.9654746,2.6330242,0.5055443
"Austria","AUT",1959,1.1548604,1.1449089,1.1015195,2.081319,1.2704982,0.7160847
"Austria","AUT",1960,1.2062094,1.0892307,1.0325785,1.1182847,3.1528225,0.8141541
"Austria","AUT",1961,1.0590893,1.0650164,0.85338116,1.0993057,2.3784041,0.59948564
"Austria","AUT",1962,0.9818661,1.1920451,0.7347904,0.8991916,1.3237187,0.5931503
"Austria","AUT",1963,0.8503024,1.0649664,1.0121105,0.17699365,0.806678,0.29440367
"Austria","AUT",1964,0.9833301,1.0634198,0.7857144,0.8674486,1.7377595,0.67669135
"Austria","AUT",1965,0.977299,1.0268624,0.67780644,1.0210193,2.0292747,0.6619191
"Austria","AUT",1966,1.0806051,1.0761032,0.97736764,0.33354014,2.8027823,0.6438374
"Austria","AUT",1967,0.9921214,0.9994227,0.70560384,1.3060415,2.0324154,0.62450707
"Austria","AUT",1968,0.90635455,1.0462077,0.7239924,0.6408726,2.0521724,0.2601238
"Austria","AUT",1969,1.1325308,1.1260828,0.8633347,1.1006479,2.7292225,0.67550564
"Austria","AUT",1970,1.5053074,1.4153656,1.6184392,2.1598372,2.4658926,0.74320096
"Austria","AUT",1971,1.3628263,1.5542663,1.4348867,1.813349,1.8605312,0.24337275
"Austria","AUT",1972,1.2371308,1.7438955,0.6870397,1.0328947,2.0987422,0.23981582
"Austria","AUT",1973,1.3514103,1.9842331,0.6877682,0.7201871,2.0084207,0.47420484
"Austria","AUT",1974,1.5312253,1.9721695,1.253304,1.8312129,2.1088269,0.23602867
"Austria","AUT",1975,1.640684,1.6271999,2.2645853,1.6584756,2.4082603,0.5544805
"Austria","AUT",1976,1.2455945,1.4757224,1.3269287,1.4943196,1.4655511,0.24126384
"Austria","AUT",1977,1.2979668,1.5432606,1.0794659,1.7345359,1.0889165,0.6562923
"Austria","AUT",1978,1.4052976,1.9164202,1.1482037,0.9194424,1.5741479,0.42154855
"Austria","AUT",1979,1.274444,1.51403,0.8335198,1.8109615,2.0730784,0.43556473
"Austria","AUT",1980,1.207961,1.2538323,1.1600741,1.6544155,1.8601147,0.5398936
"Austria","AUT",1981,1.2554327,1.5349752,1.294052,1.2566919,1.6102059,0.09285887
"Austria","AUT",1982,1.5451174,1.8660895,1.3025159,1.9893248,1.3555309,0.48182693
"Austria","AUT",1983,1.7063395,2.1152856,1.2481335,1.6022797,3.116881,0.3017104
"Austria","AUT",1984,1.7725992,1.6227397,2.449653,2.0804956,1.981458,0.94130147
"Austria","AUT",1985,1.4147693,1.7886305,1.2614652,0.73674953,2.857752,0
"Austria","AUT",1986,1.308123,1.3107238,1.4518816,1.3782233,1.7750835,0.7673924
"Austria","AUT",1987,1.2808468,1.3021481,1.1749647,1.2864053,3.148813,0.44353718
"Austria","AUT",1988,1.22622,1.6518953,0.64387274,1.319646,1.5875356,0.11147328
"Austria","AUT",1989,1.1418146,1.3681682,0.6938286,0.9349252,1.5839612,0.89240795
"Austria","AUT",1990,1.6279353,1.7443566,1.6029544,1.3235286,2.6874557,0.88983905
"Austria","AUT",1991,1.2765315,1.4093585,1.2128798,1.1682016,1.5378531,0.7712326
"Austria","AUT",1992,1.5049522,1.8232014,1.5034131,1.5251342,1.0744417,0.32544562
"Austria","AUT",1993,1.3408561,1.5393308,1.2587861,1.1206658,1.059156,0.9634798
"Austria","AUT",1994,1.184533,1.4649297,1.1944927,0.9773953,1.055808,0.21243939
"Austria","AUT",1995,1.05692,1.1420357,0.95785326,1.0803077,1.6975948,0.5292994
"Austria","AUT",1996,1.2062776,1.0900809,0.9613386,2.2447457,2.5789092,0.5287844
"Austria","AUT",1997,0.8660286,0.917829,1.0136261,0.3495762,2.1956356,0.21162768
"Austria","AUT",1998,1.1408988,1.1197075,1.118644,1.4942873,1.8047935,0.63477284
"Austria","AUT",1999,0.85088325,1.0462917,0.7568687,0.56676424,1.3930552,0.21126173
"Austria","AUT",2000,0.9362355,0.84673035,0.6341706,2.1230307,1.9070777,0.31712708
"Austria","AUT",2001,0.9576496,0.96867096,1.0841804,0.88054425,1.962078,0.3175403
"Austria","AUT",2002,0.8539566,0.9886679,0.9597362,0.652684,1.2523607,0.10601093
"Austria","AUT",2003,0.57885444,0.5900269,0.7814083,0.21591674,1.2619857,0.21313486
"Austria","AUT",2004,0.7465771,0.63501525,1.155343,0.75047547,0.7569889,0.43004557
"Austria","AUT",2005,0.8144462,0.89802295,0.4864473,0.9585655,1.7586702,0.54360116
"Austria","AUT",2006,0.81036985,0.8958146,0.47653463,1.1641936,1.002921,0.66289407
"Austria","AUT",2007,0.626893,0.7024457,0.41479835,0.8408793,1.2571912,0.22508784
"Austria","AUT",2008,0.57683504,0.55765915,0.91539043,0.4161504,0.2524035,0.22909638
"Austria","AUT",2009,0.6952391,0.80260825,0.65340424,0.910382,0.50678974,0.11647857
"Austria","AUT",2010,0.53813314,0.46454063,0.39986226,1.45309,0.7631704,0
"Austria","AUT",2011,0.5482514,0.56532323,0.49518996,0.7448644,0.762476,0.2392834
"Austria","AUT",2012,0.42712072,0.4196477,0.38963512,0.6342556,0.5059397,0.24199569
"Austria","AUT",2013,0.436384,0.5201528,0.33364728,0.71103907,0.2511244,0
"Austria","AUT",2014,0.44468606,0.5707343,0.55906445,0.17432733,0.24827819,0
"Austria","AUT",2015,0.5788299,0.49477065,0.77079606,0.69074845,0.48651502,0.36346808
"Austria","AUT",2016,0.49212623,0.3210158,0.44121203,1.115855,0.95031965,0.35952902
"Austria","AUT",2017,0.522924,0.34729785,0.5189344,1.0965625,0.93271184,0.35732833
"Austria","AUT",2018,0.57695043,0.47472358,0.6803447,0.82607764,0.92250925,0.23744509
"Austria","AUT",2019,0.51806635,0.60394055,0.5016024,0.64894456,0.45922327,0
"Austria","AUT",2020,0.42644882,0.45619628,0.28818753,0.5599413,1.1508911,0.11784685
"Azerbaijan","AZE",1981,3.1887865,4.591312,4.546236,5.252803,0.39283985,0.27750587
"Azerbaijan","AZE",1982,2.9259622,3.9550657,4.670907,6.133522,0,0.5605904
"Azerbaijan","AZE",1985,2.3341572,3.0320215,4.7862864,3.7280395,0,0.28186938
"Azerbaijan","AZE",1986,2.9610744,3.9469047,5.5045056,4.7333245,0.21933793,0.278857
"Azerbaijan","AZE",1987,2.5285058,3.4463525,2.899653,4.3403406,0.7430958,0.7536084
"Azerbaijan","AZE",1988,3.2406101,4.3752513,5.3299336,6.3444343,0.5156649,0.26816967
"Azerbaijan","AZE",1989,2.1337824,2.7880743,4.3252196,2.9594555,0.20282166,0.13067113
"Azerbaijan","AZE",1990,5.8186836,8.616578,7.038621,12.478662,0.5046814,0.44446927
"Azerbaijan","AZE",1991,4.748314,7.6097302,5.053548,5.040119,0.30346894,0.30803844
"Azerbaijan","AZE",1992,50.085354,87.87725,27.617802,40.990658,1.8434917,3.581183
"Azerbaijan","AZE",1993,39.99054,70.44614,20.074396,32.108044,1.2592331,2.48494
"Azerbaijan","AZE",1994,60.21001,110.02255,16.097992,32.038486,0.9715204,2.3706808
"Azerbaijan","AZE",1995,8.597071,13.956707,7.140802,5.3168607,0.3334352,1.0577781
"Azerbaijan","AZE",1996,6.9454627,10.892262,6.9933205,7.592258,0.34526333,0.38594052
"Azerbaijan","AZE",1997,5.8551683,9.347039,4.772512,3.2576928,0.35993707,0.6028114
"Azerbaijan","AZE",1998,5.551405,8.383582,6.6078086,4.999273,0.25229684,0.6012792
"Azerbaijan","AZE",1999,4.6517353,7.1855006,4.1501594,3.9045384,0.13304506,0.65572196
"Azerbaijan","AZE",2000,3.0334506,4.481069,3.118384,5.6888833,0.13937554,0.109829344
"Azerbaijan","AZE",2001,2.553411,3.6118002,3.1853185,3.4502852,0.14474796,0.22269657
"Azerbaijan","AZE",2002,2.5890136,3.565929,3.6666222,2.9142623,0,0.22735217
